asset_number,manufacturer,category,size,manufacturing_date,asset_name,decommissioned_date
SAID-0003462,"Hoshizaki America, Inc.",Water and Ice Maker/Dispenser,0,5/1/2010,DCM-270BAH,12/16/2024
SAID-0009521,Manitowoc Ice,"Ice Maker, Self Contained",240,7/16/2021,UYF0240A,-
SAID-0013349,"Hoshizaki America, Inc.",Ice Maker,505,3/18/2025,KMD-505MWJ,-
SAID-0013348,"Hoshizaki America, Inc.",Bin,0,3/18/2025,BD-500SF,-
SAID-0013347,Koolaire,Bin,0,3/10/2025,K970,-
SAID-0013346,Koolaire,Ice Maker,1700,3/10/2025,KDT1700A-261,-
SAID-0007605,"Hoshizaki America, Inc.",Ice Maker,450,10/6/2015,KML-450MAH,3/18/2025
SAID-0009087,Koolaire,Bin,0,1/14/2021,K970,3/18/2025
SAID-0005626,"Hoshizaki America, Inc.",Ice Maker,230,6/2/2020,KM-230BAJ,3/18/2025
SAID-0005153,"Hoshizaki America, Inc.",Ice Maker,151,7/1/2015,KM-151BAH,3/18/2025
SAID-0006029,"Hoshizaki America, Inc.",Ice Maker,350,3/1/2020,KM-350MAJ,-
SAID-0010217,"Hoshizaki America, Inc.",Bin,0,1/1/2017,B-300PF,-
SAID-0013344,Manitowoc Ice,Bin,0,3/17/2025,LB1448,-
SAID-0013345,Manitowoc Ice,Ice Maker,1900,3/17/2025,IRT1900A,-
SAID-0002454,"Hoshizaki America, Inc.",Bin,0,7/1/2007,B-700PF,12/23/2024
SAID-0007105,"Hoshizaki America, Inc.",Ice Maker,901,6/1/2015,KM-901MWH,12/23/2024
SAID-0013342,"Hoshizaki America, Inc.",Bin,0,3/17/2025,B-500SF,-
SAID-0013343,"Hoshizaki America, Inc.",Ice Maker,1002,3/17/2025,F-1002MAJ-C,-
SAID-0001857,"Hoshizaki America, Inc.",Bin,0,3/1/2007,B-500PF,3/17/2025
SAID-0006560,"Hoshizaki America, Inc.",Ice Maker,515,12/1/2010,KM-515MWH,3/17/2025
SAID-0006088,"Hoshizaki America, Inc.",Ice Maker,500,2/1/2005,KM-500MAH,-
SAID-0013340,Koolaire,Ice Maker,420,3/14/2025,KDT-0420A,-
SAID-0013341,Koolaire,Bin,0,3/14/2025,K-420,-
SAID-0008233,"Hoshizaki America, Inc.",Ice Maker,631,12/1/2016,KML-631MAH,3/14/2025
SAID-0002390,"Hoshizaki America, Inc.",Bin,0,7/1/2021,B-700PF,-
SAID-0008085,"Hoshizaki America, Inc.",Ice Maker,500,1/1/2018,KML-500MAJ,-
SAID-0009407,Manitowoc Ice,Ice Maker,620,12/16/2022,IYT0620A,-
SAID-0013338,Koolaire,Bin,0,3/11/2025,K-420,-
SAID-0013337,Koolaire,Ice Maker,420,3/11/2025,KDT-0420A,-
SAID-0008654,"Follett Products, LLC",Bin,0,2/25/2020,SG1300S-48,-
SAID-0009519,Manitowoc Ice,"Ice Maker, Self Contained",240,10/25/2017,UYF0240A,-
SAID-0007735,"Hoshizaki America, Inc.",Ice Maker,451,10/1/2014,KML-451MAH,3/13/2025
SAID-0005302,"Hoshizaki America, Inc.",Ice Maker,1601,4/1/2013,KM-1601SWH,3/13/2025
SAID-0013336,Manitowoc Ice,"Ice Maker, Self Contained",240,3/13/2025,UYF0240A,-
SAID-0013335,"Hoshizaki America, Inc.",Bin,0,3/10/2025,B-500SF,-
SAID-0001780,"Hoshizaki America, Inc.",Bin,0,6/1/2022,B-500PF,5/16/2024
SAID-0006431,"Hoshizaki America, Inc.",Ice Maker,515,11/1/2011,KM-515MWH,1/27/2025
